Year,Actual Production
1951,1729
1952,2076
1953,2870
1954,3039
1955,2975
1956,2602
1957,3078
1958,3150
1959,3463
1960,4073
1961,4080
1962,4312
1963,4607
1964,4561
1965,4664
1966,4823
1967,4894
1968,6270
1969,5701
1970,5674
1971,7486
1972,5101
1973,6388
1974,5803
1975,5559
1976,7256
1977,6361
1978,5973
1979,6199
1980,5603
1981,6957
1982,6897
1983,6549
1984,7922
1985,8442
1986,6643
1987,7593
1988,5629
1989,8229
1990,9651
1991,8962
1992,8064
1993,9994
1994,9601
1995,8884
1996,9534
1997,10770
1998,10819
1999,11148
2000,11510
2001,12043
2002,13160
2003,11152
2004,14984
2005,14172
2006,14709
2007,15097
2008,18955
2009,19731
2010,16720
2011,21726
2012,21759
2013,22258
2014,24260
2015,24172
2016,22567
2017,25900
2018,28753
2019,27715
2020,28766
